,labels,responses
824,SARCASM,end sentence hashtag #reversepsychology added make clear
825,SARCASM,Sounds Old Cotton Whig Railing Agnst GOP New Year's 1864 #GOP #PartyOfLincoln #Democrats
826,SARCASM,people food stamps food
827,SARCASM,I'm sure GOP congress possible stop stimulus plan
828,SARCASM,Reality Surprised didn't tweet CNN controlled #aliens it's part shtick
829,SARCASM,Speaking solo trails JMO run trails tomorrow #BibChat
830,SARCASM,surprised came #radonc nuke thread #radioactive sham quality
831,SARCASM,YOU'RE whining simple fact : lost 12M fans weekend safe space ___
832,SARCASM,Exactly know Lovecraft named black cat right Approximately 80 years death Black people involved bringing Lovecraft's fictional universe new generation #Gottaloveit
833,SARCASM,agree bullies look mirror right
834,SARCASM,GOP-Trump dynamic obvious funny scripted sketch Iran eg
835,SARCASM,cronies froze threat authority gave
836,SARCASM,fan club covered employees sexually assaulted & harboured paedophiles ... _
837,SARCASM,forgot tag Sarcasm come twitter lot leftists support authoritarian slaughter long right people getting slaughtered I've heard say Trump supporters dead
838,SARCASM,You're defending civility ... uncivil Interesting strategy ( POINT shld uncivil )
839,SARCASM,example sacking Alex Neil set Alex Neil #ncfc
840,SARCASM,master plan 3 crore refugees 19 crore Muslims population issue solved hai
841,SARCASM,means popular twitter world #makesmesad
842,SARCASM,I'm #offended left voice opinions inflict
843,SARCASM,shocking tweet thought million years best Christian world chosen God diss Christian publication wrong #ImpeachAndRemove
844,SARCASM,lol #eejits disagree views peeps ... can't prejudice ___
845,SARCASM,Short selling illegal market forced forever ( )
846,SARCASM,Mormons believe leaders & worthy members able discern deceiving
847,SARCASM,guy profile picture retire
848,SARCASM,part Irish I'd find signs #history
849,SARCASM,it's liberal terrorist loving left hateful intolerant
850,SARCASM,mean GUARDIAN INTENTIONALLY MISREPRESENTING ISSUE ... CLICKS
851,SARCASM,risible opposition represent majority Scotland hasn't voted Tory generation Labour :/
852,SARCASM,talking broad married #Dotard mocked publicly Twitter 13 old girl Sweden make sure ... #KarmaIsABitch #DoYouLikeApples
853,SARCASM,3 specific question interest Naftohaz receive $ 2.9 bn funds received Russia ( conversation specific look leaked tape tbh ) much-debated mystery UAH strength rightly
854,SARCASM,tweeted blocked lol fragile x100 lol
855,SARCASM,Urdu nahi ati thi lekin Urdu ko qoumi zaban banaya Bhutto sharab peeta tha liye sharab ko ban karwaya
856,SARCASM,credibility #science bolstered tech post tweet Oh #flatearth
857,SARCASM,gosh don't look thought did look absolutely duh That's it's funny
858,SARCASM,LOL .. tired old photoshopped pic Byrd KKK garb
859,SARCASM,teams run ball win
860,SARCASM,I'm sure sympathies long way
861,SARCASM,people don't espouse bad evil shirts
862,SARCASM,think mean concisely correctly important criticizing another's literacy
863,SARCASM,Flynn lied Pence DJT can't stand liar
864,SARCASM,Oh whoops #notsarcasm tweet sure piss : [ ] tag abused added non-sarcastic tweets
865,SARCASM,warned ( ) listen Dr _ Feel better & careful _
866,SARCASM,can't phone line faulty can't book technician online fix phone
867,SARCASM,point ... he's gone wrong way bad Nazi
868,SARCASM,... Trump supporters upset new coastal tech order disrupting livelihoods common
869,SARCASM,He's misinformed idiot Righties term fake news created
870,SARCASM,I'm going tweet $ 700 phone know hate capitalism
871,SARCASM,watching can't help wish hit harder might've knocked sense
872,SARCASM,Probably fine people run people hate Don't judge
873,SARCASM,amount violence tweet ...
874,SARCASM,grab hankie grow pair ... oh wait
875,SARCASM,think you're clear means Shortcut : Compare media w mine ___
876,SARCASM,bizarre especially we're countries basically taught USA know ...
877,SARCASM,shame wouldn't answer guess can't learn past forget & move
878,SARCASM,You're uneducated science denier relies products science spread dishonest message
879,SARCASM,saves paper towels electricity dryer water dry #trump look positives
880,SARCASM,Ha found son pretty impressive cross face right Ah Lol
881,SARCASM,Actually rebooted mash iraq war docs unit going hot spot hot spot ... relevant today's conflicts ... #missedoppurtunity
882,SARCASM,Throws stones glass houses Wonders there's broken glass ...
883,SARCASM,sadly true It's words song hey ...
884,SARCASM,1 left 2016 1 tweet destroyed entire life #2017 ... hard #LifeIsCrap _
885,SARCASM,Rose top 5 male female technical fighter & half JA masterclass distance control movement jab utilization mental state cage irrelevant ; immaculate upbringing u did
886,SARCASM,Brexpress probably thought forename foreign
887,SARCASM,Hahaha sound salty What's pro-refugees end killing #accidentshappen
888,SARCASM,Yep casualties dollar crash Trump voters
889,SARCASM,#America'ns getting popular
890,SARCASM,keep telling time casino
891,SARCASM,< let's compare Hitler yes Lazy did say
892,SARCASM,I'm Let's craft ambiguous biased questions chose unrepresentative sample publish fits views
893,SARCASM,Free speech issue Don Cherry yhe wrong side dontcha know
894,SARCASM,global issues surfaced 3 years
895,SARCASM,cartoon bio pic seemingly levity ...
896,SARCASM,love completely different
897,SARCASM,ifYer worthy pity it's cuz U've spent hella time defending whitey callin Kweli coon
898,SARCASM,third thing Americans don't angrily spin deflect make assumptions ( tweet ) #cdnpoli #G7 #humor
899,SARCASM,you've got admit it's ridiculous wasn't 15 unsportsmanlike
900,SARCASM,know mean ... convenient find she's racist bully ppv #racism ruins #HardToKill
901,SARCASM,hasn't joined 21st century comes tickets Color shocked
902,SARCASM,Ah thought today sadly ... apparently coordinating Amtrak difficult late it's snowing know it's difficult make things work snows
903,SARCASM,Big Fan Roland Freisler Viewed Political Opponents Malignant Trolls #Democrats #NatlSocAmerWorkersParty #SiegObama Parnas
904,SARCASM,Great questions You're timeline asking
905,SARCASM,Yawn ... progressives living past
906,SARCASM,help rate ( note obvious #eyeroll ) You're biggest #companies world 1000 customer service reps service 60 countries 10000 calls ( 2011 stats ) today's ...
907,SARCASM,sorry couldn't help notice U felt right validate belonging
908,SARCASM,smashed windows companies supported Hillary lol
909,SARCASM,deleted #GrammaticallyIncorrect response #TooGoodToBeTrue
910,SARCASM,relocated BC town deer recently ended Idaho bar aggressive
911,SARCASM,Trumpkins gave Michelle Obama hell stating Beyonce role model Sad #doublestandard
912,SARCASM,I'm best special tbh It's fun lol
913,SARCASM,look eventual annual Tubies Awards livestream
914,SARCASM,type comment Hopefully answer
915,SARCASM,wouldn't mind he's dancing song say devil dead
916,SARCASM,people won't move mile find work
917,SARCASM,Person favour Boris Johnson complaining people talk folk
918,SARCASM,lib buddies did store D C huh #hilarious
919,SARCASM,mean work survived thrived despite family experience
920,SARCASM,omg peopld dont support uniform civil code india empower Muslim women posting thing
921,SARCASM,Lol true :D fight corruption bring accountability wants initiate actions
922,SARCASM,Stanley museum NCAA rules name building current student athlete Better ask question
923,SARCASM,say ... time talking flippers life illegal couldn't help hear & crack sirens getting louder background
924,SARCASM,Appointee chair Ontario Human Rights Commission blocked 2 or3 critical tweets
925,SARCASM,believe tweets blame left hatred directed trump
926,SARCASM,Oh kid school did racist mean racism taught schools
927,SARCASM,symbol Iranian women reject smart btw ...
928,SARCASM,... & know send £ 10 send #MarkFrancois's Y-Fronts stains decode #EU-Lizard People cabal's evil plans accept postal orders #charlatans
929,SARCASM,think anti-Semitism thing made discredit
930,SARCASM,haha _ proper made laugh actually fans problem lol
931,SARCASM,exactly left says inclusive supports least inclusive groups
932,SARCASM,That's rich coming Trumps notifications troll tweet Angie #hypocrisy #FakeActor #PaidTroll
933,SARCASM,awww ... enlightened statement filled recorded facts historic evidences ... #ignorance
934,SARCASM,hahaha better link says phone mast area reception signal hit miss it's strong
935,SARCASM,Good choice Barcelona single problem ...
936,SARCASM,likewise It's it's Karanka's fault it's negative
937,SARCASM,#Plagiarism boot seriousness #HRH lifelong #Indomitable
938,SARCASM,call racists .. sink moment
939,SARCASM,Proving point hate problem problem hate speech mouths Dem House Reps ...
940,SARCASM,did say thanks belittling post you're truly great progressive
941,SARCASM,record Jessica ... LOT it's shame got mixed Jmac & Harvest can't judge actions 2003 backdrop 2019 thought James great back
942,SARCASM,Politics envy blaming essential capitalism #Brexit realised today thing #BrexitParty members controlled immigration exactly #Brexit destroy EU citizens leave come encouraging
943,SARCASM,mean Ressa who's acting she's thing
944,SARCASM,wasn't wrong didn't incorrect grammar forgot Obama isn't white
945,SARCASM,Yes thank Rudy Hope exposed ugliness darkness swamp Ukraine spending Russian retainer Light darkness riding russian military planes
946,SARCASM,Sounds Trump trying win votes millions undocumented people voted illegally election
947,SARCASM,Love Trump supporters acting repulsed trashiness
948,SARCASM,you've got love UKIP supporter stating can't speak Bitain money
949,SARCASM,hate creation thought
950,SARCASM,love basic spelling grammar skills calling idiots
951,SARCASM,it's got bloody stop button watching Mandela : Long road Freedom
952,SARCASM,think pretty funny he's talking fake news epidemic story rally organized Rebel
953,SARCASM,Thats trying retaliate RPG attack rocket launcher blows face
954,SARCASM,Homes private servers
955,SARCASM,ironically guarantees player offense irrelevance fantasy two years #Rams
956,SARCASM,ITA reclaim term reclaimed deplorable reasons totally different
957,SARCASM,doubt chorus outrage Western Civilisation crowd
958,SARCASM,Please try focus profit make cleaning #WeAreScrewed
959,SARCASM,agree that's policy gov't & sooner later things change direction gov't leaves wild west opportunity making money losing money Libs govern insolvency sorting bankruptcy harms no-one
960,SARCASM,lost weight #incredible #beast #wink
961,SARCASM,Caesar fictional character lol born birth certificate ... clearly
962,SARCASM,Oh right 19 minutes won talking impeachment Pardon sarcasm
963,SARCASM,trump's followers proven fake bots
964,SARCASM,Sounds Common Standard Criticism Lincoln Administration #GOP #PartyOfLincoln #Democrats
965,SARCASM,call trash clean PROTESTERS TRaSH didnt pollute drinking water
966,SARCASM,Pretty sure wasn't ilk burning UC Berkeley denying free speech #BringMeSweetDeath
967,SARCASM,s right depending things #ACASignups guy losing coverage #ACA repealed
968,SARCASM,word Supposed English #DumbRemarksOnTheInternet
969,SARCASM,comment coming media following liberal sheep hysterical #liberalprojecting
970,SARCASM,3/4 gifts receive come family makes anxious able give back perfect gift
971,SARCASM,Born Sinners accept evidently false shall worship false Gods B Sigh
972,SARCASM,Sadly Prof Richardson Insane Desperate Democrats Created Confederacy #GOP #PartyOfLincoln #Democrats
973,SARCASM,lies great Streep understand side politics allow differing opinions #lwnj
974,SARCASM,Real question : realize parody account mocking Spicer Trump admin
975,SARCASM,movie important ths Tom Hanks satanic pedophile conspiracy
976,SARCASM,right actually writing Trump right that's take mind Buchenwald
977,SARCASM,Says dummy replying gif
978,SARCASM,clever know believes pin exactly
979,SARCASM,#GOPHate #KKK WHITE SUPREMACIST w cartoon frog profile _
980,SARCASM,Remember tweet show airs it's funny
981,SARCASM,Assamese people protesting CAA Goa Asked say accept people Assam #destroyingGoanCulture #fakeprotest
982,SARCASM,BREAKING NEWS releases scathing tweet critical U S intelligence services #impotent
983,SARCASM,Oh yes bullets definitely made safer knows takes GOOD third grader gun stop BAD third grader gun
984,SARCASM,special Trump voters subsidized red states losing gov't benefits
985,SARCASM,Saint Reagan s legacy governor California visionary
986,SARCASM,replying tweet 18months later timely finding closed 3pm #sanctimonious
987,SARCASM,Probably tag Sec embarrassed officials overall it's impressive bad high level programs hopes Logically think push best suck
988,SARCASM,Somethin Southern culture independence & subsequent opposition progress ironic #hicks
989,SARCASM,Yeah coverage girl's u18 ( female world juniors equivalent ) awe inspiring #pathetic think
990,SARCASM,shallow relationship women needing attention sexless men defend hopes sexual favor
991,SARCASM,Did u skip part Buybull Gantz calling people fools reserved ur spot hell
992,SARCASM,didn't know hacked two ethnic girls death machetes Long Island thanks letting know
993,SARCASM,surprisingly missed point feel comfortable calling ( especially ) idiot ... __
994,SARCASM,yeah Nelle kissing Morgan ( kiss death ) lusting Sonny awesome
995,SARCASM,Ah yes great bastion freedom work satire Machiavelli aren't supposed actually follow advice
996,SARCASM,I'd hate PM needed important ... #ReleaseTheRussiaReport
997,SARCASM,Nice job winning ppl Stop getting brainwashed sheep idiots Michael Brooks tyt follow example Bernie campaign
998,SARCASM,append hashtag didn't think necessary time Wrong
999,SARCASM,think you're right wants enjoy benefits perks blood tests prove they're Maori
1000,SARCASM,& aren't big banks ones funding DAPL 4 blood Good luck w EC coup
1001,SARCASM,compelling argument highly intelligent Must've taken research come respond twitter's character limits
1002,SARCASM,it's two way street riding wrong side UK thought
1003,SARCASM,don't say Did read tweet obviously called number literally says called help desk help customer can't read #greatcustomerservice #topclass
1004,SARCASM,side claims thin-skinned & reactionary & declares true victim
1005,SARCASM,please don't call chihuahua bear won't make fun life
1006,SARCASM,fall short side inequality Totally Problem certainly historically end violent revolution
1007,SARCASM,Good receive response Mine & pity political veteran wishes Hillary gender
1008,SARCASM,Andrew calls PATRIOT supports puppet government engineered Russians
1009,SARCASM,true start charging season passes expansion packs game Great plan
1010,SARCASM,Yes True rocked mushroom cut parents teachers school guess Jim Carrey Join guys #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale
1011,SARCASM,Bro bio literally hate comes success
1012,SARCASM,Mm getting death threats dying gun shot wound don't feel 0.1 % sorry
1013,SARCASM,Please feed negatives wrong advice going chance Thanks #sortof
1014,SARCASM,3/3 Right adopts strategy #altfacts ironic Naziism don't listen words & truth sell pure power move
1015,SARCASM,hope ironic old pal
1016,SARCASM,Nah Plomins Blueprint interesting Blueprint totally different reasons generalisation books reductionist oversimplified
1017,SARCASM,free Mexico Oh wait can't cross Mexico illegally consequences
1018,SARCASM,Ontario healthcare acceptable wouldn't waste $ $ s telling good #onpoli #onhealth
1019,SARCASM,weren't Nazis White House I'd time develop fascist-kicking clog skills
1020,SARCASM,Yeah Unwanted children don't deserve chance find happiness It's better dead
1021,SARCASM,amazement he's #ClimateChangeDenier #CryptoAustrian multi-purpose troll : buy free P s warning you're American
1022,SARCASM,don't give back 2 pity yr future kids yr personality important things 4 ppl world 2 deal w replying 2 gay males sitting vultures trying 2 gaslight #FemaleMessiah's 4 attention Twitter Reply I'll
1023,SARCASM,leaf exact game bias media referencing right
1024,SARCASM,Forgot I've blasted committee & M love affair
1025,SARCASM,mean isn't they're superior civilisation keep 50 years
1026,SARCASM,can't know thought serious Unfortunately tag type stuff
1027,SARCASM,good blown target bit left air ambulance give take ... __
1028,SARCASM,Listen Pete war listen vets Soldiers leave war end war leaves soldiers Meagan Swift Boated ( #GOPAF ) Pete today child Oligarchy playing Socialist Democrat w #Propaganda
1029,SARCASM,Hiel Chris two people exercising right free speech Who's right revoke Sieg Heil stupid fascist
1030,SARCASM,analogy attempted justification refutation troll
1031,SARCASM,esteemed senator wonderful state tha ... can't tweet straight face
1032,SARCASM,Trump celebrity tho youre paying ruin country
1033,SARCASM,Yeah it's SOOOO hard call collective people peeps y'all don't experience mean hurt back Elizabethan english #bringbackYE
1034,SARCASM,intolerant tolerate Trump supporters
1035,SARCASM,It's actions misguided woman left gives rise Nationalism won't _
1036,SARCASM,Yes women ashamed shamed reproductive choices
1037,SARCASM,completely agree daresay Beddows label racist suggesting ...
1038,SARCASM,Russia left Afghan ; radicals flourished USA jolts defeatd radicals brought enlightened Govt Russia wants 2 overthrow moderate
1039,SARCASM,don't talk things Nick keep blind faith that's good fans
1040,SARCASM,staying India decades don't document prove ancestors entered India March 24 1971 eve Bangladesh War #CAB #NRC
1041,SARCASM,wait got copies game didn't enjoy you're gonna buy DLC forgot tag picked cause there's way you're sarcastic lmao
1042,SARCASM,train full booze swigging discriminatory chanting skin head football hooligans .. makes proud British
1043,SARCASM,Funny #UCP types hate Ottawa politicians elect leader Premier Ottawa politician
1044,SARCASM,Yep joke Plus play idea claiming carryover credits supposed climate policy
1045,SARCASM,Impeachment sounds great Let's back losing jobs higher unemployment terrible trade deals low GPD higher taxes massive regulations food stamps awful VA care higher prescription prices & fined having healthcare
1046,SARCASM,conversation nice try u know #Hamilton
1047,SARCASM,#Trumpland perpetuate power glory divides nation #facepalm #StillWithHer
1048,SARCASM,colour tea crucial Honestly tho shd ashamed yrself 4 baseless malicious slur
1049,SARCASM,people wanting impeach Trump can't POSSIBLY TRUMP problem #GOPLogic
1050,SARCASM,Yes unearned born way christians definitely harming christianity
1051,SARCASM,Brian danger letting political views rant ... Wank Puffin u dislike
1052,SARCASM,wrong Avengers keep getting Thanos's way wanted power cost Avengers think weren't sides blame
1053,SARCASM,ha right Can't white apparently people mad stereotypes stereotype
1054,SARCASM,Yeah faith ERG buckled theresa applied pressure
1055,SARCASM,Don't forget evocative sense death thing decays black husk Art worth makes feel mortality #totalcrap
1056,SARCASM,Shame HRC ignoring oppressed & downtrodden white men country
1057,SARCASM,Whataboutism weak you're true statement take away events took place Needless say don't think attackers going heaven
1058,SARCASM,WTO Trump currently trying destroy #fail
1059,SARCASM,should've added ... emails important things stake #imwithher
1060,SARCASM,tired Isn't ironic called white man wonderbread claim racist #sjwfail
1061,SARCASM,losing unfair bad one's mental well-being
1062,SARCASM,Posts loads flame extremely public social network told that's acceptable behavior mind business
1063,SARCASM,Fox News TMZ __ stellar reporting & PS u take list She's busy having baby mama drama
1064,SARCASM,strangely parts moving Funny sings I'll know song start singing
1065,SARCASM,great you're hateful bigot itching terrorize minorities w police helping decency dies Berkeley
1066,SARCASM,> > > < < < productive 2 w time attack w different POV #liberalHypocrosy
1067,SARCASM,yes know I'm sarcastic tag think comcast try charter
1068,SARCASM,keeps fighting right spout racist sexist vitriol public media
1069,SARCASM,cross platform history mobile devices did running open source projects ...
1070,SARCASM,I'm Ajezeera SERIOUSLY 1st popped good :) #middleeast #americanelection _
1071,SARCASM,don't people act swamp They're swamp creatures different swamps fight require swamp exist idea drain swamp survive #joke it's #comedy good ones
1072,SARCASM,Rich people Government health care telling poor working class ppl don't Gov healthcare
1073,SARCASM,means cut funding teachers cuz jobs easy teaching equality children value
1074,SARCASM,Yes dare killed young man fled country refuse return face did helpful KILLED beginning adulthood family longer loved Christmas table
1075,SARCASM,Hold think ... Lets Twitter profile picture Humm face dog face dog oh hell dog ... Lol
1076,SARCASM,song parody choice original plea literally lives Third World country updated lyrics showcase World hardship transportation inconvenience #FeedTheWorld #MyCabbieOnlyTakesCash Tonight thank God it's ...
1077,SARCASM,thought read update did catch — least dog returned disgusting trying point likely animal rights activists liberals don't mind abortion hate peaceful pro lifers clinics
1078,SARCASM,Yes True rocked mushroom cut kid time 12 13 guess rocked Join guys #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale
1079,SARCASM,Confirmation right faces #UNSC members violate UN Charter daily #Orwellian
1080,SARCASM,don't know you've heard doomers sun play role climate change that's true doubt sun wipe electrical grid know away sun
1081,SARCASM,mean 4 weeks ... didn't know typo Honest answer
1082,SARCASM,love Bernie trying President Trump Luckily Bernies purposes policies tax American people pay trillions dollars Qassim evil respect human life ...
1083,SARCASM,please put people think serious
1084,SARCASM,.. .. ... Bitcoin limited supply worth $ 1 billion BTC eventually It's case exists Isn't
1085,SARCASM,Oh friends gues you're right type Jew killed right type assailant tweet days murder Orthodox Blacks believed Jews police harassment top
1086,SARCASM,you're coward perfectly hiding picture mouse
1087,SARCASM,shutdown electricity hell feel Squatters stealing electricity correction excused PAYING customers taxed accordingly
1088,SARCASM,stops war murdering opposition's commanders
1089,SARCASM,Gotta sort problems & start way Paradise step descent State Government state & close #DrainTheSwamp ... lucky 12 years left
1090,SARCASM,start chanting good bad people society
1091,SARCASM,: Supporters mediocre Clown question other's ability
1092,SARCASM,14 idle curiosity I've read uk number ones .. Two tribes Pipes peace Freedom Careless Whisper _
1093,SARCASM,learning Jews learning defend win win sides expression ideas got combative certainly wasnt one-sided mean look ... Jews asking
1094,SARCASM,Sorry buying explanation threw wall found quickly didn't stick bounced right back time hadhtag
1095,SARCASM,least # honestly ( Trending ) ignores Hunt & Turner modish crap
1096,SARCASM,good USA strongcongress ppl standup 2 dictator
1097,SARCASM,Kinda guy inspired hateful dance
1098,SARCASM,finished Act turned _ break OUTRAGED able hear dialogue American Dad _
1099,SARCASM,think world able share it's protest thanks son Syrian immigrant #stevejobs
1100,SARCASM,good Got Makes back play disc That's right game got popular #trendsetter
1101,SARCASM,made stereotype black people hates stereotypes made lol
1102,SARCASM,.. pointing way passive aggressively pointed ..
1103,SARCASM,least don't bring Russian company set fake businesses ground PR stunt leaves Kentuckians earning taxes providing crappy jobs Please stay idea job growth
1104,SARCASM,thought polls BS figured way poll electoral college change mind
1105,SARCASM,Weird hope venturing comfort bubble feature FT Central bank response slightest economic bump warrant rate cuts QE
1106,SARCASM,agree ... it's weirdo loner white male peadophile serial killer #profiles #equalstereotypingforall
1107,SARCASM,won't hear fit biased CNN narrative agenda ... news org
1108,SARCASM,Yeah let's pessimistic .. #TitanUp #WHYNOTUS
1109,SARCASM,stupid jail move run president understand Twilight Zone episode clear
1110,SARCASM,Yes people's pursuit bullheaded mind isn't open opinions
1111,SARCASM,it's shocking Jon serve hot food ah wicked ... oh stoped serving hot food
1112,SARCASM,Thank shitty t-shirt retailers don't know anymore #lost #ChristmasDay #christmasGift
1113,SARCASM,9months pregnant dropped husband early morning low petrol pjs dressing gown wouldn't Cashier asked aware night attire cctv didn't realise
1114,SARCASM,argument open access public paid
1115,SARCASM,funny sad
1116,SARCASM,Don't accept clearly worn item tries return #BananaRepublicans
1117,SARCASM,saying having great life went war zone gain sympathy people finally ...
1118,SARCASM,hear lot Unfortunately told come back renegotiate price dents lol
1119,SARCASM,Totally stolen valor fakery tweet delivered
1120,SARCASM,right He'll dictated wrote That's say co wrote ... course making tea
1121,SARCASM,Drugs don't stinkin drugs Hemp oil Drink Spray Rub Inhale Pray HEAL
1122,SARCASM,Yeah let's punish children families Heaven knows serving harder sentence #perpetuatethecycle
1123,SARCASM,thing suck David shitty excuse way top notch ethical human
1124,SARCASM,food shortages make thinner reduce pressure NHS bloody kids play power cuts It'll 1952 Bully Britain God Queen
1125,SARCASM,consider vry moderate can't man who's horribly vulgar
1126,SARCASM,cares climate ... mean People sure worried concerned stupidest stuff
1127,SARCASM,Tasteless callous disgraceful comment Protected free speech disgraces
1128,SARCASM,Don't worry punctuation come totally sane fixed 40 % person's grammatical errors don't know start
1129,SARCASM,cope dodging murderers hate transgender people easy smoking absent reality
1130,SARCASM,free speech didn't burn Starbucks uc Berkeley
1131,SARCASM,I'm appearing hurt It's fella blocked #Softies #Growapair
1132,SARCASM,Takes lot tap dancing ignore FACT woman trying promote peace killed Muslim
1133,SARCASM,Aren't folks journalist murdered cut bone They're angered ... barbaric actions It's okay right Don mean ... got touch glowing orb
1134,SARCASM,Classy response You're obviously stand-up guy sort Mak [ ing ] America Great #godsaveus
1135,SARCASM,live near Hershey chocolate factory long gone MX
1136,SARCASM,yep thought cal campus known free speech .. controversial speaker accepted wsu
1137,SARCASM,I'll ridiculous logo color scheme immediately assume you're flagging interest piss play
1138,SARCASM,isn't entire account posting mediocre opinion hypocritical don't follow PSA apparently don't find #shirtlessshamers attractive comment negatively #archaic #oppressive
1139,SARCASM,Mike giving full equality fairness act ur cashier sarcastically u u pay tax man #rude
1140,SARCASM,called thugs persecuted religion normalizing sexual assault losing right marry CRAZY 2/2
1141,SARCASM,1 thought paesano : Trumpism gather groups & end pushing Progress faster
1142,SARCASM,That's lie better lose You're living poverty ... That's great pitch
1143,SARCASM,Makes totally white kids privileged don't excel school going lead perfect life skin color
1144,SARCASM,previous tweet Lebron fine play 50min games
1145,SARCASM,It's gets mugs potential criminal records
1146,SARCASM,Americans live shorter lives Brits Putting rat hair chlorinated chicken food chain generate needed pension social care cost savings British taxpayers
1147,SARCASM,trump avoided taxes long legislation bill Clinton passed
1148,SARCASM,Trump campaigned Crooked Hillary end crooked & hopefully impeached
1149,SARCASM,oh sure VIP treatment big fat contracts media face time dissuade top pick
1150,SARCASM,That's spreading complete ignorance time stating educated
1151,SARCASM,Yeah heaven forbid moral standards culture
1152,SARCASM,Yea ppl argue defense bigotry listen ppl Ben Shapiro & read Brietbart Obviously makes expert racial inequality lol
1153,SARCASM,crowd anxiously awaiting 9th circuit travel ban relief thinks appeals waste time
1154,SARCASM,calls ppl ignorant ; ends sentence omg lulz please stop bro you're making easy
1155,SARCASM,Oh that's marvellous timing given disruption diversions re : Constitution St
1156,SARCASM,point people generation having #pension #pension companies treat planet badly disappeared time reach #retirement age PLEASE review processes take better care
1157,SARCASM,she's crazy tea party nut criticizes safe spaces blocks disagrees
1158,SARCASM,Trump CIA friction dictator impose nation control
1159,SARCASM,say socialist it's bad thing support communist's choice POTUS
1160,SARCASM,don't corrupt family selfish business closed doors funniest tweet I've read
1161,SARCASM,part bit fun pictures two shilling snake oil innocent hopefuls
1162,SARCASM,follower long time found podcast yesterday Thanks retweet I'm 34 minutes right Luke caught Rian Johnson's lightsaber autocorrect botched oenophile
1163,SARCASM,unfair noble pig that's fed cockroach grandfather illegal immigrant Germany
1164,SARCASM,exactly who's offending : straight men gays ice cream Snowflakes angry snowflakes
1165,SARCASM,Twitter silly fun room s tags guess took seriously I'm blocked I'm huge fan John Mcwhorter ( sic ) writes books thoughtless grammar correction largely nonsense replied
1166,SARCASM,I'm master's student FSU right lol
1167,SARCASM,two favorite Cenk quotes women reason equality women incredibly weak man woman didn't equality wouldn't angry Sounds misogynist
1168,SARCASM,huge difference words know
1169,SARCASM,Trump judge & bully 1 W daughter right side supporting can't call
1170,SARCASM,appears naturalnews censoring posts fit agenda
1171,SARCASM,Ah yes assumption icing black white projection cake
1172,SARCASM,_ LOL guy handful tweets followers calls troll trolling love
1173,SARCASM,did proved false assumptions point
1174,SARCASM,yr highness outrage #Twitteratti slamming anti-india gals long time fan
1175,SARCASM,Defining existence fallacious Fallacies definition dishonest
1176,SARCASM,Haha Twitter folk fail amaze amuse Strange guy
1177,SARCASM,Krampus shopping behalf Santa
1178,SARCASM,shocked tried stop going went met lovely Hindus Muslims
1179,SARCASM,Hyper-partisan media policy operative Spicer complaining delays digging personal lives nominees ...
1180,SARCASM,teams submitted #honest bids bids did win
1181,SARCASM,tories largely responsible united ireland happen
1182,SARCASM,Stanley making threat chose misunderstand Heard
1183,SARCASM,LOL John Durham Trump appointee DOJ leadership hand-picked Trump nearly 3 years I'm sure indictments drop soon ...
1184,SARCASM,originalists logic 2nd Amendment applies 2 muskets automatic weapons didn't exist
1185,SARCASM,sure compelling ... doubt #MadKingDonald self-awareness figure
1186,SARCASM,woman can't hate women don't hate gays sure friends Jews Thanks tho you're full love
1187,SARCASM,case You're greatest coach world you're playing low level ball
1188,SARCASM,Yes oppositional
1189,SARCASM,tweeting twitter handle literally says profession govt calling asshat wrong private citizen priorities straight #ucphypocrisy #UCPcorruption
1190,SARCASM,Yes owners prisons true villains incarcerated innocent bystanders
1191,SARCASM,patriarchy isn't new it's going forever okay change voice protest matter
1192,SARCASM,that's mission make people beleive denounce religion life lmao
1193,SARCASM,Yeah done Trump fault attacked killed Americans foreign soil attacked Embassy pass sit back wait pull 9/11 act
1194,SARCASM,Reducing language thought pithy messages invented Marketing acolytes surprise operate way debating pithy Tweets
1195,SARCASM,notice fans questioning fandom backing Dean towners SD
1196,SARCASM,hope fix needing Play modded .. fun
1197,SARCASM,Celebrity leaders women's march protesting objectification women : :
1198,SARCASM,wait ... think I'm acting child Haha
1199,SARCASM,Exactly dare people vote stuff Especially stuff poorly worded multiple definitions 2016 clarity 2020 Imagine callousness actually letting people vote actual arrangement dare
1200,SARCASM,meant money keeps coming pocket
1201,SARCASM,( Lighten days man retweets hate abuses people )
1202,SARCASM,thanks nice argue hope Brett Dalton proud
1203,SARCASM,think fact proving deduction accurate bet escapes ... #SeekTruth
1204,SARCASM,spent 17 years South know
1205,SARCASM,Oh Safe Sound showed
1206,SARCASM,I'm sorry didn't know satellites method identifying hurricanes feel sorry poor 19th century sailors didn't know storm sailing
1207,SARCASM,Come join EMO comms person communicate you'll fired communicate you'll thrown jail criminal negligence
1208,SARCASM,Tonight Hamilton adds 3rd act part Alexander Hamilton designs explains & defends electoral college #oops #history
1209,SARCASM,& people call libtards snowflakes & tell run safespaces
1210,SARCASM,pay attention .. epitomises cynical eating lot BBQ code
1211,SARCASM,& don't understand Dunning Kruger paper showed
